1216
a big cheese	(slang) เป็นสำนวนแปลว่า คนที่สำคัญมาก
demand schedule	(n) รายการของปริมาณความต้องการซื้อเทียบกับราคาเสนอซื้อบนเส้นอุปสงค์ซึ่งมักจะอยู่ในรูปของตาราง แต่ก็อาจจะอยู่ในรูปของกราฟก็ได้, Related: S. demand curve, 
demilitarized zone	(n) เขตปลอดทหาร
dental caries	(n) โรคฟันผุ, Related: S. tooth decay, 
dental cavities	(n) ท่อกลวงในฟันที่เกิดจากโรคฟันผุ, Related: dental caries 
deploy	(vt) แปรแถวตอนเป็นแถวหน้ากระดาน(ทางทหาร), เคลื่อนกำลังพลพร้อมอาวุธไปอยู่ในตำแหน่งที่พร้อมจะต่อสู้ (ทางทหาร), การตั้งแถวเตรียมตัวออกรบ, จัดเพื่อใช้งาน 
depreciation	(n) ค่าเสื่อมราคา 
deputy interior minister	(n) รมช.มหาดไทย, รัฐมนตรีช่วยว่าการกระทรวงมหาดไทย
deregulation	(n) การผ่อนคลายกฎระเบียบ (ทางการค้า)เช่น Deregulation has improved access and quality and cut waste and prices across several industries. 
detective	(n) นักสืบ
deuteronomy	(n) หนังสือเฉลยธรรมบัญญัติ หนังสือเล่มที่ 5 ของพระคริสต์ธรรมคัมภีร์(พันธสัญญาเก่า), Related: R. The Old Testament 
Dhaka	(n uniq) ชื่อเมืองหลวงของประเทศบังคลาเทศ , Related: Dacca 
dichotomy	(n) การแบ่งครึ่งแยกกลุ่มที่แตกต่างออกจากกัน, การแบ่งขั้ว
differential	(n) เฟืองท้าย เช่น This rear wheel is replaced with the bolting on of two wider wheels that sit on the motorcycle' s differential and driveshaft.
dilated	(adj) ขยายตัว พองตัว
dill	(n) ผักชีลาว (สามารถใช้รับประทานหรือใช้ประดับก็ได้ เมื่อแก่ออกดอกสีเหลืองเล็กๆ ลักษณะใบเป็นท่อนเล็กๆแหลมๆมีกลิ่นหอมเฉพาะตัว)
dingbat	(n slang vulgar) คนไร้สมอง, คนที่โง่เขลา
direction	(n) คำสั่ง คำแนะนำ (ให้ปฏิบัติหรือให้ทำ), Related: S. instructions 
disjunction	(n) ความไม่ต่อเนื่อง, การแยก, การแยกออกจากกัน, Related: S. discontinuity, interruption, break, 
disorientated	(adj) สับสนและไม่เข้าใจว่าอะไรเกิดขึ้นรอบตัวเอง
dissemination	(n) การเปิดประเด็นเพื่อการถกเถียงและโต้แย้งอย่างกว้างขวาง
distance learning	(n) การศึกษาทางไกล เช่น การเรียนผ่านสื่อเช่นโทรทัศน์หรืออินเทอร์เน็ต ไม่ได้ไปโรงเรียนและเข้าเรียนในห้องเรียนตามปกติ
divestiture	(n) การถอนทุนบริษัท, การขายบริษัท, Related: S. divesture, divestment, A. investment, R. spin off 
documentary	(n adj) ภาพยนตร์สารคดี, ที่เกี่ยวกับเอกสารหรือสารคดี
doddle	(n slang) เรื่องจิ๊บจ๊อย, งานง่ายๆ
dog	(n) สุนัข, หมา
dog-end	(n slang) ก้นบุหรี่, Related: S.cigarette end, 
domain	(n) (คณิต.) ขอบเขตกำเนิด
doraemon	(n) ชื่อตัวละครของการ์ตูนญี่ปุ่นเรื่องหนึ่ง เป็นหุ่นยนต์มาจากโลกอนาคต มีกระเป๋าสารพัดประโยชน์ คอยใช้ของวิเศษเพื่อช่วยเหลือโนบิตะ การ์ตูนเรื่องนี้เป็นที่นิยมอย่างมากประมาณในช่วงทศวรรษที่ 80
doraemon	(n) ชื่อการ์ตูนญี่ปุ่นที่มีชื่อเสียง, ตัวเอกของเรื่องเป็นหุ่นยนต์แมวจากโลกอนาคต
dorami	(n) น้องสาวของโดราเอมอน (doraemon) 
doremi	(n) ดู dorami
dork	(n) คนประหลาด, คนพิลึก, คนบ้า, คนงี่เง่า, Related: S. jerk, R. freak, 
doubleganger	(n) คนที่มีหน้าตาคล้ายคลึงกับใครคนใดคนหนึ่งมาก , Related: S. doppelganger, doppelgänger, 
douche-bag	(n) คนเส็งเคร็ง เช่น A complete douchebag is someone who pisses you off. Most of the time it's like a sixth sense, you can't put your finger on it, but you just have the feeling., Related: S.douchebag 
down-to-earth	(adj) (คน)ไม่ถือตัว, ไม่โอ้อวด เช่น I like her. She is a down-to-earth kind of person., It's so surprised find the super-star so down-to-earth.
down-to-earth	(adj) เป็นจริง, ไม่เพ้อฝัน, อยู่ในโลกแห่งความจริง, Related: S. practical, A. idealistic, unrealistic, 
downplay	(vt) แสดงหรืออธิบายถึงสิ่งใดสิ่งหนึ่งโดยแสร้งว่าไม่สำคัญหรือไม่แย่นัก เช่น Homeland Security officials downplay need for antiterrorist center.
downsizing	(n) การลดขนาดองค์การ โดยมากมักกระทำเพื่อให้เกิดเสถียรภาพทางการเงินแก่องค์การ ทำได้โดยการลดค่าใช้จ่ายในส่วนต่างๆ หรือลดจำนวนบุคลากร เป็นต้น
drawstring	(n) เชือกผูกปากถุง, เชือกที่เป็นหูรูดของเสื้อผ้า เช่น Keep your jewelry together in a drawstring bag that proudly proclaims your pink ribbon pride! 
dry cell	(n) ถ่านไฟฉาย, แบตเตอรี่แบบแห้ง
DSL	(abbrev) ย่อมาจากคำว่า Digital Subscriber Line เป็นวิธีการเชื่อมต่อคอมพิวเตอร์เพื่อการสื่อสารแบบหนึ่ง นิยมใช้ในการให้บริการอินเทอร์เน็ตแก่ผู้ใช้ทั่วไป
DSLR	(n abbrev) ย่อมาจาก Digital SLR หมายถึงกล้องดิจิตอลชนิด SLR, Related: SLR, camera 
dullest	(adj) น่าเบื่อที่สุด เช่น I have the dullest job of anyone here. 
dumbfounded	(adj) ตกตะลึง, ตะลึงงัน เช่น Frankly, I have been dumbfounded that it has taken this amount of time.
e.g.	(abbrev) ตัวอย่างเช่น, มาจากภาษาละตินว่า exempli gratia ซึ่งหมายความว่า เพื่อแสดงเป็นตัวอย่าง (for the sake of example), Related: S. for example, 
earning per share	(n) กำไรต่อหุ้น ย่อด้วย EPS เช่น The earning per share for ICI Pakistan, excluding the impact of deferred tax, increased by 31%, from Rs 11.6 per share to Rs 15.2 per share.
ecological	(adj) เกี่ยวกับระบบนิเวศน์
educational supervisor	(n) ศึกษานิเทศก์
effluent	(n) ของเสียที่ปล่อยออกมา เช่นจากโรงงาน ออกไปสู่สิ่งแวดล้อม
effluent	(n) สิ่งที่ถุกปล่อยออกมา
elastic band	(n) ยางรัด, หนังยาง, Related: S.rubber band 
election commission	(n) คณะกรรมการเลือกตั้ง
electrical shock	(n) ไฟฟ้าดูด
electrical short	(n) ไฟฟ้าลัดวงจร
Emerald Buddha Temple	(n) วัดพระศรีรัตนศาสดาราม หรือวัดพระแก้ว
emerge	(vi) ออกมา, โผล่ออกมา, ปรากฎออกมา, Related: S. issue, 
emeritus	(adj n) กิตติคุณ เป็นตำแหน่งที่มหาวิทยาลัยมอบให้แก่บุคลากรอาวุโสที่เกษียณอายุแล้ว โดยเป็นผู้ที่ทำคุณประโยชน์แก่มหาวิทยาลัยมาอย่างต่อเนื่องยาวนาน เช่น president emeritus อธิการบดีกิตติคุณ, professor emeritus ศาสตราจารย์กิตติคุณ
empathize	(vt) |with so.| เห็นอกเห็นใจ, เข้าใจ, Related: R. empathy 
employment agreement	(n) สัญญาจ้างงาน
enemy	(n) |pl. enemies| ศัตรู, ข้าศึก, ฝ่ายตรงข้าม, ปรปักษ์
english	(n., adj.) คนอังกฤษ, ภาษาอังกฤษ
engram	(n) การเปลี่ยนแปลงของระบบประสาท เป็นผลมาจากการเรียนรู้โดยร่องรอยของความทรงจำจะถูกบันทึกไว้
enlarged heart	(n) อาการหัวใจโต เช่น An enlarged heart isn'ta condition in itself, but a symptom of an underlying disorder that is causing the heart to work harder than normal., Related: R.cardiomegaly 
enqueue	(vt) จัด, วาง, แทนที่ บางสิ่งไว้เป็นลำดับ
enterprise-wide	(n) ทั่วทั้งองค์กร
entomologist	(n) ผู้ทำการศึกษาค้นคว้าเกี่ยวกับแมลง
entrant	(n) ผู้มาใหม่, ผู้เข้าทำงานใหม่, สมาชิกใหม่ เช่น They are entrants for a competition. พวกเขาเป็นผู้เข้าร่วมการแข่งขัน
environment	(n) สิ่งแวดล้อม
EOS	[อี โอ เอส] รุ่นกล้องของบริษัทแคนนอน canon
EPA	(n) องค์การพิทักษ์สิ่งแวดล้อม, Related: S. Environmental Protection Agency, 
epicenter	(n name) จุดเหนือศูนย์แผ่นดินไหว
epiphany	(n) เป็นวันฉลองเทศกาลที่โหราจารย์ 3 คนจากทิศตะวันออก ได้นำของขวัญมาถวายแก่กุมารเยซู โดยทั่วไปแล้วตรงกับวันที่ 6 มกราคม , Related: R. Christmas 
episodic	(adj) ที่เป็นตอนๆ, ชั่วคราว เช่น Researchers had already associated with specific, episodic climate changes. 
equilibrium	(n) ดุลยภาพ, สภาวะสมดุล, Related: S. balance, counterpoise, equipoise,  R. stasis, 
equity	(n) กรรมสิทธิหุ้นส่วนในบริษัทห้างร้าน
ergodic	(adj) อัตลักษณ์ ลักษณะที่เป็นของตนไม่ขึ้นอยู่กับที่มา ไม่ขึ้นอยู่กับเวลา
escalator	(n) บันไดเลื่อน
essential	(adj) จำเป็นที่สุด, ซึ่งขาดเสียมิได้, เป็นส่วนประกอบที่สำคัญ, เป็นเนื้อแท้, เป็นปัจจัยพื้นฐาน, เกี่ยวกับตัวยาสำคัญ, เกี่ยวกับหัวน้ำหอม, เป็นธรรมชาติ, ซึ่งเกิดขึ้นเอง
estoppel	(n ) การถูกตัดบท (โดยกฎหมาย), กฎหมายปิดปาก เช่น That decision was based on the legal concept of estoppel. 
ethnocentricism	(n) ความเชื่อว่าชาติของตนเหนือกว่าชนชาติอื่น
ethnocentrism	(n) ความเชื่อที่ว่าชนชาติ ประชาชน ขนบธรรมเนียม ประเพณีของ เชื้อชาติของตนนั้น ดีเลิศกว่าชนชาติอื่น 
evaluation	(n) การประเมินผล
even risk	ความเสี่ยงที่เกิดจากเหตุการณ์ที่ไม่คาดคิด
even-tempered	(adj) ใจเย็น, มีขันติ, Related: S. patient, stable 
event	(n) ผลการฟ้องร้อง
evidence	(n) หลักฐาน
exclusive economic zone	(n) เขตเศรษฐกิจจำเพาะ
exegete	(n) อรรถกถาจารย์ - ผู้เขียนหนังสืออธิบายข้อพระคัมภีร์ของศาสนาต่างๆ เช่นหนังสืออธิบายข้อพระคริสต์ธรรมคัมภีร์ หรือหนังสืออธิบายข้อพระธรรมเบญจบรรณ หรือหนังสืออธิบายพระไตรปิฏก หรือหนังสืออธิบายคัมภีร์พระเวท หรือหนังสืออธิบายคัมภีร์อัลกุรอ่านก็ได้ทั้งนั้น, Related: S. commentator, 
exergonic	(adj) ที่คายพลังงาน, ซึ่งมีพลังงานของสารผลิตภัณฑ์ต่ำกว่าของสารตั้งต้น, Related: S. exothermic, A. endergenic, endothermic, 
exergonic reaction	(n) ปฏิกิริยาทางเคมีที่ปล่อยพลังงาน, ปฏิกิริยาคายพลังงาน, Related: S.exothermic reaction 
exodus	(n) หนังสืออพยพ หนังสือเล่มที่ 2 ของพระคริสต์ธรรมคัมภีร์(พันธสัญญาเก่า), Related: R. The Old Testament 
expansile	(adj) มีความสามารถในการยืด ขยายขนาด โป่งพอง, Related: S. expandable, 
expropriation	(n) การเวนคืน เช่น One of the greatest risks that infrastructure projects have faced in the past is that of expropriation by the host government. 
extension cord	(n) สายพ่วงไฟ, สายต่อปลั๊ก, Related: S.power extender, extension lead 
extracellular	(adj) ภายนอกเซลล์
extrajudicial killing	(n) การฆ่าแบบไม่เคารพกฏหมาย, การฆ่าที่ผิดกฏหมาย
FAA	(abbrev) สำนักงานบริหารการบินแห่งชาติของสหรัฐ ย่อมาจาก Federal Aviation Administration 
fabbo	(adj slang) ยอดเยี่ยม, เจ๋ง, Related: S. fabulous, 
fabric softener	(n) น้ำยาปรับผ้านุ่ม
facet	(n) ด้านมุมมอง, แง่ปัญหา
fart	(v, n) ตด, Related: pass the gas 
fast food	(n slang) อาหารจานด่วน
father	(n) บาทหลวง
fava bean	(n) ถั่วปากอ้า
fave food	(n) ของโปรด, อาหารที่ชอบทาน เช่น My new fave food is fruit smoothies.I really love fruit smoothies. I make one out of skim milk and vanilla powder slim fast and add about 1/2 cup of fruit. , Related: S. favourite food, 
feather	(n) ถ้าพูดถึงขนของสุนัข จะหมายถึงแผงขนที่ห้อยลงมาจากส่วนหลังของขาทั้งสี่ และใต้ลำตัว ลักษณะคล้ายชายครุย
feature film	(n) ภาพยนตร์เรื่องยาว เช่น Seeking professional actors/actresses for independent feature film to be shot in Buenos Aires at the beginning of August., Related: S. full-length movie, a full-length motion picture, 
feng shui	(n) ฮวงจุ้ย เช่น Learn how to map your bedroom with Feng Shui, an ancient Chinese method that helps us balance our homes and create happier, more successful lives.
ferry boat	(n) เรือข้ามฟาก
final examination	(n) สอบไล่ (การสอบปลายภาคการศึกษา)
financial report	(n) รายงานทางการเงิน
financial statement	(n) งบการเงิน
finesse	(n) ไหวพริบ เช่น I've heard that today's game is more of a power game than a finesse game.
finesse	(n) ชั้นเชิง
fingerroot	(n) กระชาย, พืชสมุนไพรเอเชียชนิดหนึ่ง เหง้ามีรากเป็นกลุ่ม ลักษณะคล้ายนิ้วมือยื่นออกมา ตำราอาหารมักเรียกผิดเป็น lesser galangal (เปราะหอม), Related: S. lesser ginger, Chinese ginger, krachai, 
fire fighting	(n) การดับเพลิง
Firefox	(n) ซอฟต์แวร์อินเทอร์เน็ต Browser ตัวหนึ่ง, พัฒนามาจาก Mozilla, ดู <A HREF=http://www.mozilla.org/products/firefox/>Firefox</A>, <A HREF=http://www.mozilla.org>Mozilla</A>
fitting box	(n) ห้องหรือตู้ในร้านขายเสื้อผ้า สำหรับให้ผู้ซื้อเสื้อผ้าเปลี่ยนจากเสื้อผ้าที่ตนสวมใส่ มาลองสวมใส่เสื้อผ้าที่จะซื้อเพื่อการตัดสินใจว่าพอเหมาะหรือเป็นไปตามที่ตนต้องการหรือไม่, Related: S. changing room, locker room (American), 
fixed asset	(n) สินทรัพย์ถาวร
flak jacket	(n) เสื้อเกราะกันกระสุน, Related: S. flak vest, bulletproof vest 
flare	(n) แถบหรือแนวจุดสว่างที่ปรากฏบนภาพถ่าย อันเกิดจากการที่แสงจากแหล่งกำเนิด เช่น ดวงอาทิตย์หรือหลอดไฟฟ้า ส่องเข้าหน้าเลนส์ในมุมที่เหมาะสม แล้วสะท้อนกับผิวแก้วชิ้นเลนส์หรือวัตถุอื่นๆที่อยู่ในเลนส์ ไปตกลงบนผิวฟิล์มรับภาพ สามารถบรรเทาได้ด้วยการสวมหน้ากากกันแสงหน้าเลนส์ (hood), Related: hood 
flash memory	(n) หน่วยความจำประเภทสารกึ่งตัวนำชนิดหนึ่ง ที่สามารถลบข้อมูลแล้วเขียนใหม่ได้ และสามารถคงข้อมูลไว้ได้แม้ไม่มีกระแสไฟฟ้าเลี้ยง
flat out	(adj adv colloq) อย่างเต็มที่และรวดเร็ว เช่น They were all working flat out.
flat out	(adv colloq) อย่างตรงไปตรงมา เช่น Just about 100 percent of everything you read was flat out wrong., He stated hisopinion flat out., Related: S. bluntly, 
flea market	(n) ตลาดนัด ตลาดของมือสอง
flipflop	(n) รองเท้าแตะ, รองเท้าหูหนีบ, รองเท้าหูคีบ เช่น This summer's must-have fashion accessory is the topless flipflop - a sandal with no straps and no apparent way of staying on your foot., Related: S.flip-flop 
flocculant	(n) สารที่ช่วยจับกลุ่มอนุภาคสารที่ทำให้เกิด floc (ตะกอนเบาซึ่งเกิดขึ้นช้า ๆ เมื่อเติมสารนี้ลงในสารแขวนลอยหรือของเหลวแขวนตะกอน จะทำให้อนุภาคต่าง ๆ ที่แขวนลอยอยู่มารวมตัวกันเป็นตะกอนมีน้ำหนักแล้วจมลงนอนก้น สารที่มีสมบัติดังกล่าว ได้แก่ potash alum ซึ่งมีสูตร K2SO4.Al.(SO4)3.24H2O และสารส้ม (alum) ซึ่งมีสูตร Al2(SO4)3.14H2O
flyswatter	(n) ไม้ตีแมลงวัน, ไม้ตียุง
fog	(n) หมอก
foliar feed	(n) การให้อาหารโดยฉีดพ่นทางใบ
food for thought	สิ่งที่ทำให้คนเราระลึกถึงและใช้ความคิดใคร่ครวญ, อาหารสมอง
food poisioning	(n) อาหารเป็นพิษ
football	(n) ถ้าในอเมริกา จะหมายถึง กีฬาอเมริกันฟุตบอล (ถ้าจะพูดถึงฟุตบอลในความหมายที่ใช้กันในบ้านเรา จะเรียกว่า soccer แทน)
foreign business act	(n) พระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว
foreign exchange reserve	(n) ทุนแลกเปลี่ยนเงินตราต่างประเทศ
forensics	(adj) เกี่ยวข้องกับทางศาลหรือกระบวนการทางกฎหมาย
foreword	(n) คำนำ เช่น Usually a book’s Foreword consists of someone telling you a bunch of stuff about about the book you’re holding in your hand—either to encourage you to buy it, or to get you excitedabout the book before you read it., Related: R. preface 
formula	(n) สูตร
fossil fuel	(n) เชื้อเพลิงฟอสซิล คือเชื้อเพลิงที่ได้จากซากพืช ซากสัตว์ตั้งแต่สมัยดึกดำบรรพ์,ตัวอย่างเช่น ถ่านหิน,น้ำมัน และก๊าซธรรมชาติ
foxhole	(n) หลุมหลบภัย
frame of mind	(n) อารมณ์, สภาพของจิตใจขณะนั้น
franchise	(n vt) การได้รับสิทธิพิเศษ, 
franchise	(n) ธุรกิจที่ผู้ค้ารายย่อยดำเนินธุรกิจในนามของอีกบริษัทหนึ่ง โดยได้รับอนุญาตจากบริษัทนั้นๆ โดยมากก็จะขายสินค้าหรือบริการรวมทั้งมีลักษณะการดำเนินธุรกิจ, และรูปลักษณะการจัดร้านที่แนะนำหรือควบคุมโดยบริษัทผู้ให้สิทธิอนุญาต ตัวอย่างเช่น 7-11, ชายสี่หมี่เกี๊ยว
free	อิสระ
free radical	(n) อนุมูลอิสระ
free trial	(n) สินค้าหรือบริการตัวอย่างที่ให้ลองใช้ฟรี, การให้ทดลองใช้ฟรี
French seam	(n) การเย็บแบบซ่อนตะเข็บ เช่น A French seam completely encloses all raw edges within itself.
fresco	(n) ภาพบนผนังปูนปลาสเตอร์เปียก, เทคนิคการวาดภาพบนผนังปูนปลาสเตอร์เปียก เช่น Fresco painting defined with images of examples from throughout history, great quotations, and links to other resources.
fridge	(n) ตู้เย็น, Related: S. refrigerator 
frisbee	(n) จานร่อน เช่น What makes a Frisbee fly?
frog in the well	(phrase) เทียบได้กับสำนวนไทย กบในกะลา (ถ้าแปลตรงๆคือกบในบ่อหรือในสระน้ำ)
front-line	(n adj) แนวหน้า, ที่เป็นแนวหน้า เช่น front-line soldier, front-line editor, Related: S. front line, 
FUD	(abbrev) ย่อมาจากสามคำ คือ Fear, Uncertainty, Doubt หมายถึง การที่ผู้ผลิตให้ข้อมูลข่าวสารที่ทำให้ลูกค้าเกิดความกลัว ความไม่แน่ใจ และความสับสน ในสินค้าของคู่แข่ง เช่น Microsoft มักออกข่าวหรือให้ข้อมูลทำนองนี้เกี่ยวกับ Linux
fuel cell	(n) เซลกำเนิดไฟฟ้า โดยอาศัยปฏิกิริยาเคมี ระหว่างออกซิเจน กับ ไฮโดรเจน ซึ่งเมื่อรวมตัวกันแล้วจะได้น้ำ และพลังงานออกมา คาดกันว่าจะนำมาใช้อย่างแพร่หลาย สำหรับเป็นแหล่งพลังงานของรถยนต์ไฟฟ้า และเครื่องคอมพิวเตอร์กระเป๋าหิ้ว หรืออุปกรณ์อิเลคโทรนิกส์ต่างๆ โดยสามารถเติมพลังงานในรูปแบบของการเติมไฮโดรเจนที่ปั้ม หรือซื้อไฮโดรเจนกระป๋องสำหรับอุปกรณ์นั้นๆมาเปลี่ยน (สิงหาคม 2546)
fuel cell	(n) เซลล์เชื้อเพลิง
Full Duplex	(n) แบบสองทิศทาง หมายถึง การสื่อสารระหว่างสองจุด โดยที่ข้อมูลเดินทางไปมาได้ทั้งสองทิศทางพร้อมๆกันได้, Related: Related: Half Duplex, Simplex 
funicular	(n) กระเช้าไฟฟ้าที่เคลื่อนบนรางของรถไฟส่วนใหญ่มักใช้ขึ้นลงเขาที่ไม่สูงนัก, Related: S.funicular railway, inclined railway, inclined plane,cliff railway 
futuristic	(adj) ที่เกี่ยวกับอนาคต เช่น It was the futuristic flick Gattaca that changed her future. 
galaxy	(n) ดาราจักร
ganesha	(n) พระพิฆเณศ
GCD	(abbrev) ห.ร.ม. (หารร่วมมาก), Related: S.greatest common divisor 
GDP	(n abbrev) ย่อมาจาก Gross Domestic Product ผลิตภัณฑ์มวลรวมภายในประเทศ
gear	(n) ล้อเครื่องบิน
gear down	(vi) กางล้อ (เครื่องบิน)
gear up	(vi) เก็บล้อ (เครื่องบิน)
geeky	(adj) ที่เชี่ยวชาญเรื่องเทคโนโลยี หรืออุปกรณ์อิเล็กทรอนิกส์, บ้าเกี่ยวกับคอมพิวเตอร์, บ้าวิชาการ, ที่หมกมุ่นกับเรื่องใดเรื่องหนึ่งมาก   
geez	(colloq) |AE| โอ พระเจ้า (ใช้แสดงความประหลาดใจเล็กน้อย ความพอใจ ความไม่พึงพอใจเล็กน้อย เป็นคำย่อของ Jesus) เช่น Geez, that's cute - the output of a true intellectual. You are so smart. 
GEN	(abbrev ) พลเอก, พล.อ., Related: S. General,  
gender identity disorder	(n) ความผิดปกติของเอกลักษณ์ทางเพศ, Related: homosexual slang (gay,queer,dyke) 
General Assembly	[เจน-นะรัล อะเซมบลิ] (phrase) การประชุมสามัญ
genesis	(n) หนังสือปฐมกาล หนังสือเล่มแรกของพระคริสต์ธรรมคัมภีร์(พันธสัญญาเก่า), Related: S.The First Book of MosesR. The Old Testament 
genetically	(adv) ด้วยกลไกทางพันธุกรรม เช่น scientific and consumer concerns about genetically engineered and modifiedfoods
geography	(n) ภูมิศาสตร์
get	(vt) ได้รับ เช่น I got the book yesterday. ฉันได้รับหนังสือเมื่อวานนี้
get	(vt) เข้าใจ เช่น Do you get it? คุณเข้าใจ (เรื่องนี้) หรือเปล่า, Oh, I got it now. อ้า ตอนนี้ฉันเข้าใจแล้ว
get a grip	(vi) ใจเย็นๆ, ตั้งสติ, มีสติ เช่น Get a grip on stress and time management.
get someone's feet wet	เริ่มทำสิ่งใดสิ่งหนึ่งเป็นครั้งแรกที่ค่อนข้างมีความเสี่ยง เช่น If you've never invested money in the stock market, now is the time to get your feet wet.
gewgaw	(n) ของกระจุกกระจิก(ที่ราคาถูกๆ) เช่น My mother also came through in her inimitable way. She bought us yet another completely mystifying Christmas gewgaw., Related: S.geegaw 
gewgaw	(adj) (ข้าวของ เครื่องประดับ)ที่แสดงความโอ้อวดไม่ได้มีค่า, ที่ดูราคาถูก เช่น Everything is very well arranged and it doesn’t look gewgaw. The front hood is modified with three air-shafts with skew lines for perfect harmony.
gisting	(n) การสรุปใจความสำคัญ, Related: Related: abstracting, summarizing 
give it one's best shot	(phrase) พยายามอย่างสุดความสามารถ, เช่น I'll give it my best shot. ฉันจะพยายาม (ทำเรื่องนี้) อย่างสุดความสามารถ
Give me your five!	เป็นสำนวน แปลว่า มาแปะมือกัน (โดยใช้ฝ่ามือ ใช้ในโอกาสที่ถูกใจหรือบางสิ่งประสบผลสำเร็จ)
give so. a hand	ช่วยเหลือ เช่น Can I give you a hand? Do you need a hand? ให้ช่วยอะไรมั้ย?
give so. the creeps	(colloq) ให้ความรู้สึกที่น่ากลัวสะหวั่นพรั่นพรึง เช่น That black cat gives me the creeps every time I see it.
give so. the creeps	(colloq) ไม่ถูกชะตา, ให้ความรู้สึกที่ไม่ชอบ เช่น He really gives me the creeps. 
glacier	(n) ธารน้ำแข็ง 
global governance	(n) โลกาภิบาล
global planning	(n) การวางแผนระดับสากล
globalization	(n) โลกาภิวัตน์, Related: R. localization 
gloriosa lily	[กลอริโอซา ลิลี่] (n) ดองดึง, ก้ามปู เป็น ดอกไม้สกุลลิลลี่(Liliaceae, Lily Family) มีหัวใด้ดิน มี 6 กลีบ ดอกอ่อนสีเขียว พอบานจะเป็นสีเหลืองปลายกลีบเป็นสีแดง และเมื่อใกล้โรยจะเป็นสีแดงเข้ม และจะกลายเป็นฝักในที่สุด มีเกษรเพศผู้และเมียแยกกัน ออกดอกช่วงฤดูฝน 
glory lily	ดองดึง หรือบางที่เรียกว่า ดอกก้ามปูนา มีชื่อวิยาศาสตร์ว่า Gloriosa superba (ชื่อวิทยาศาตร์ต้องเขียนด้วยตัวเอียงหรือขีดเส้นใต้เท่านั้น)
GMO	(n) สิ่งมีชีวิตที่ถูกดัดแปลงด้วยการตัดต่อทางพันธุกรรม ย่อมาจาก genetically modified organism
GNP	(n abbrev) ย่อมาจาก Gross National Product ผลิตภัณฑ์มวลรวมประชาชาติ
go for the jugular	(phrase) กะจะเอาให้ถึงตาย สู้ยิบตา, วิจารณ์หรือพูดจาทิ่มแทงใจ เช่น Hannity did not go for the jugular with this opening, but rather he explained the issue fairly objectively and pressed for an opinion. 
go out of one's way	อุตส่าห์ยอมลำบาก(ทำสิ่งใดสิ่งหนึ่ง)เกินกว่าที่คาดไว้
go under	(vi) ล้มละลาย, เจ๊ง เช่น That bookstore is going under.
God bless you!	พระเจ้าคุ้มครองคุณ (หรือพูดสั้นๆว่า Bless you!) เป็นคำอวยพรที่พูดเมื่อบุคคลอื่นมีอาการจาม เพราะสมัยก่อนเชื่อกันว่า ขณะที่คนเราจามนั้นวิญญาณสามารถออกจากร่างได้ ทำให้อาจมีโรคภัยได้ง่าย
goddess of mercy	(n) เจ้าแม่กวนอิม, เทพเจ้าแห่งความเมตตา (ซึ่งหมายถึงเจ้าแม่กวนอิม โดยในภาษาอื่นอาจเรียกกันไปในหลายๆ คำ เช่น Quan Yin, Kuan Yim เป็นต้น)
golden apple snail	(n) หอยเชอรี่
Golden Globe Award	(n) รางวัลลูกโลกทองคำ เช่น The Golden Globe Awards, honoring excellence in film and television, are presented by the Hollywood Foreign Press Association.
good bye	(phrase) คำอำลา, ลาก่อน
good mixer	(n) คนที่เข้าสังคมได้ดี, คนที่เข้ากับคนอื่นง่าย, Related: S. sociable, 
good riddance	(phrase) โล่งไปที, พ้นไปที
goodwill	(n) ค่าความนิยม เช่น Everything's that little bit nicer and you get the feeling that in some small way you're contributing to the ongoing goodwill of the workplace.; Just four days later, they ruined whatever goodwill the bishop established with sex-abuse victims.
gorilla	(n.) ลิงกอริลล่า
government in exile	(n) รัฐบาลพลัดถิ่น
GPS	(abbrev) ระบบที่ช่วยบอกตำแหน่งที่อยู่บนพื้นผิวโลก โดยอาศัยสัญญาณดาวเทียม ย่อมาจากคำว่า 
grainy	(adj) หยาบ, (ภาพ)มัว, ที่เป็นเม็ดๆหยาบๆ
great nephew	(n) ลูกชายของหลาน, Related: S.grand nephew 
great niece	(n) ลูกสาวของหลาน, Related: S.grand niece 
greatest common divisor	(n) หารร่วมมาก (ห.ร.ม.), Related: S.GCD 
green	(adj) อ่อนด้วยประสบการณ์, ไร้เดียงสา, Related: S. naive, 
green tiger prawn	(n) กุ้งกุลาลาย, กุ้งกุลา, กุ้งลาย, กุ้งเสือเขียว, Related: R. Penaeus semisulcatus 
greenbottle fly	(n) แมลงวันหัวเขียว, Related: S.greenbottle fly 
greeting	(n) การทักทาย, การต้อนรับ
grey cloth	(n) ผ้าที่ยังไม่ผ่านกระบวนการตกแต่งสำเร็จ
Greyhound racing	(n) การแข่งวิ่งสุนัขพันธ์เกรย์ฮาวนด์  เป็นที่นิยมในอังกฤษ(คล้ายแข่งม้าแต่ไม่มี jockey)
gridlock	(vi, n) ติดขัด, แออัด, รถติด เช่น On Friday, a gridlocked intersection, blaring horns, and harsh looks resulted from drivers jockeying to merge from two lanes into one for most of the day., Related: S. pack,traffic jam, 
